Id,Name,Type,RAh,Dec,Vmag,MajorArcmin,MinorArcmin,PAdeg,SourceCatalog
NGC2822,NGC2822,galaxy,9.230478,-69.644833,11.620,3.960,2.720,94.000,ngc
NGC2835,NGC2835,galaxy,9.298031,-22.354667,11.060,6.430,3.720,179.000,ngc
NGC2841,NGC2841,galaxy,9.367397,50.976528,10.060,6.900,3.310,147.000,ngc
NGC2859,NGC2859,galaxy,9.405147,34.513500,11.870,3.190,2.780,85.000,ngc
NGC2903,NGC2903,galaxy,9.536142,21.500833,9.530,11.940,5.280,22.000,ngc
NGC2910,NGC2910,open_cluster,9.508061,-52.914000,7.490,4.800,,,ngc
NGC2925,NGC2925,open_cluster,9.553033,-53.395972,8.300,7.500,,,ngc
NGC2950,NGC2950,galaxy,9.709764,58.851278,11.930,2.620,1.650,142.000,ngc
NGC2972,NGC2972,open_cluster,9.669867,-50.320944,10.720,3.600,,,ngc
NGC2974,NGC2974,galaxy,9.709244,-3.699139,11.880,3.480,2.130,44.000,ngc
NGC2976,NGC2976,galaxy,9.787628,67.916389,10.810,5.770,3.010,143.000,ngc
NGC2985,NGC2985,galaxy,9.839508,72.278639,11.210,3.610,2.920,177.000,ngc
NGC2986,NGC2986,galaxy,9.737789,-21.278000,11.690,4.810,3.850,42.000,ngc
NGC2997,NGC2997,galaxy,9.760775,-31.191083,10.040,10.260,6.210,97.000,ngc
NGC3033,NGC3033,open_cluster,9.809733,-56.430056,9.240,4.800,,,ngc
NGC3059,NGC3059,galaxy,9.835600,-73.922194,11.740,3.800,3.560,50.000,ngc
NGC3065,NGC3065,galaxy,10.032006,72.170333,11.760,1.870,1.780,160.000,ngc
NGC3077,NGC3077,galaxy,10.055297,68.733917,10.630,5.210,4.320,49.000,ngc
NGC3079,NGC3079,galaxy,10.032722,55.679778,11.410,8.180,1.290,166.000,ngc
NGC3105,NGC3105,open_cluster,10.010978,-54.787694,10.730,4.080,,,ngc
NGC3109,NGC3109,galaxy,10.051911,-26.159583,10.390,16.000,2.740,93.000,ngc
NGC3114,NGC3114,open_cluster,10.041547,-60.130528,4.470,12.300,,,ngc
NGC3115,Spindle Galaxy,galaxy,10.087217,-7.718583,10.080,7.100,3.010,43.000,ngc
NGC3136,NGC3136,galaxy,10.096711,-67.377972,11.700,4.200,2.940,27.000,ngc
NGC3147,NGC3147,galaxy,10.281569,73.400750,11.260,4.110,3.550,152.000,ngc
NGC3166,NGC3166,galaxy,10.229333,3.424722,11.420,4.500,2.840,87.000,ngc
NGC3169,NGC3169,galaxy,10.237514,3.466083,11.250,4.340,2.650,49.000,ngc
NGC3184,NGC3184,galaxy,10.304683,41.424056,10.410,7.400,7.180,117.000,ngc
NGC3189,NGC3189,galaxy,10.301564,21.832306,11.880,3.640,1.220,124.000,ngc
NGC3193,NGC3193,galaxy,10.306917,21.893972,11.990,2.360,2.160,20.000,ngc
NGC3198,NGC3198,galaxy,10.331931,45.549611,10.900,6.460,1.840,30.000,ngc
NGC3201,NGC3201,globular_cluster,10.293544,-46.411222,9.180,9.600,,,ngc
NGC3223,NGC3223,galaxy,10.359744,-34.266806,11.780,4.280,2.790,132.000,ngc
NGC3227,NGC3227,galaxy,10.391828,19.865056,11.550,3.980,1.860,156.000,ngc
NGC3228,NGC3228,open_cluster,10.356178,-51.722583,6.150,6.600,,,ngc
NGC3239,NGC3239,galaxy,10.418025,17.163583,11.680,3.610,2.710,80.000,ngc
NGC3245,NGC3245,galaxy,10.455108,28.507444,11.660,3.610,2.300,176.000,ngc
NGC3255,NGC3255,open_cluster,10.442044,-60.675194,11.540,4.800,,,ngc
NGC3293,NGC3293,open_cluster,10.596881,-58.224472,4.840,5.100,,,ngc
NGC3310,NGC3310,galaxy,10.646072,53.503389,11.280,1.800,1.730,10.000,ngc
NGC3319,NGC3319,galaxy,10.652628,41.686667,11.770,3.630,1.770,38.000,ngc
NGC3330,NGC3330,open_cluster,10.645953,-54.130722,7.550,5.100,,,ngc
NGC3338,NGC3338,galaxy,10.702094,13.747000,11.440,1.230,0.710,98.000,ngc
NGC3344,NGC3344,galaxy,10.725319,24.922222,10.500,6.700,6.370,150.000,ngc
NGC3348,NGC3348,galaxy,10.786111,72.839667,11.940,2.130,2.130,65.000,ngc
NGC3359,NGC3359,galaxy,10.776906,63.224222,11.070,4.070,2.830,167.000,ngc
NGC3377,NGC3377,galaxy,10.795092,13.985917,11.130,3.870,1.870,36.000,ngc
NGC3384,NGC3384,galaxy,10.804692,12.629278,10.890,5.240,2.370,53.000,ngc
NGC3412,NGC3412,galaxy,10.848133,13.412139,11.440,3.960,2.170,155.000,ngc
NGC3423,NGC3423,galaxy,10.853981,5.840028,11.610,3.560,3.030,4.000,ngc
NGC3432,NGC3432,galaxy,10.875314,36.618778,11.660,7.410,2.080,33.000,ngc
NGC3486,NGC3486,galaxy,11.006631,28.975139,11.070,5.820,4.120,80.000,ngc
NGC3489,NGC3489,galaxy,11.005158,13.901222,11.060,3.440,2.030,70.000,ngc
NGC3496,NGC3496,open_cluster,10.992725,-60.336861,9.020,6.000,,,ngc
NGC3504,NGC3504,galaxy,11.053114,27.972500,11.620,2.480,2.240,150.000,ngc
NGC3511,NGC3511,galaxy,11.056603,-23.086778,11.540,6.040,2.000,76.000,ngc
NGC3513,NGC3513,galaxy,11.062800,-23.245500,11.940,2.810,1.280,113.000,ngc
NGC3519,NGC3519,open_cluster,11.067436,-61.368250,8.050,,,,ngc
NGC3521,NGC3521,galaxy,11.096828,-0.035861,9.900,8.320,4.470,162.000,ngc
NGC3532,Wishing Well Cluster,open_cluster,11.096617,-58.770500,3.280,12.000,,,ngc
NGC3557,NGC3557,galaxy,11.166011,-37.539167,11.410,4.360,3.430,32.000,ngc
NGC3572,NGC3572,open_cluster,11.172000,-60.248361,6.820,4.080,,,ngc
NGC3585,NGC3585,galaxy,11.221414,-26.754833,10.810,6.610,3.270,104.000,ngc
NGC3590,NGC3590,open_cluster,11.216381,-60.789028,8.500,5.100,,,ngc
NGC3593,NGC3593,galaxy,11.243611,12.817667,11.850,4.690,1.850,91.000,ngc
NGC3596,NGC3596,galaxy,11.251725,14.787028,11.790,3.550,3.370,65.000,ngc
NGC3607,NGC3607,galaxy,11.281844,18.051750,10.930,4.590,4.030,120.000,ngc
NGC3608,NGC3608,galaxy,11.283042,18.148694,11.570,3.180,2.670,78.000,ngc
NGC3610,NGC3610,galaxy,11.307019,58.786278,11.630,2.390,2.370,135.000,ngc
NGC3613,NGC3613,galaxy,11.310031,58.000000,11.740,3.550,1.780,100.000,ngc
NGC3621,NGC3621,galaxy,11.304586,-32.814056,10.100,9.790,4.030,161.000,ngc
NGC3626,NGC3626,galaxy,11.334392,18.356833,11.800,2.940,1.940,157.000,ngc
NGC3628,NGC3628,galaxy,11.338047,13.589694,9.970,11.040,3.440,104.000,ngc
NGC3631,NGC3631,galaxy,11.350797,53.169556,10.710,3.720,3.080,118.000,ngc
NGC3640,NGC3640,galaxy,11.351903,3.234833,11.340,4.330,3.810,98.000,ngc
NGC3642,NGC3642,galaxy,11.371636,59.074528,11.710,4.270,3.650,120.000,ngc
NGC3646,NGC3646,galaxy,11.361967,20.169556,11.760,3.090,1.480,45.000,ngc
NGC3665,NGC3665,galaxy,11.412131,38.762861,11.780,4.060,3.000,29.000,ngc
NGC3675,NGC3675,galaxy,11.435717,43.585917,10.960,5.900,3.270,178.000,ngc
NGC3680,NGC3680,open_cluster,11.426967,-43.250111,8.400,5.700,,,ngc
NGC3686,NGC3686,galaxy,11.462214,17.224194,12.000,2.880,2.180,21.000,ngc
NGC3690B,NGC3690B,galaxy,11.476008,58.562944,11.680,2.400,1.860,41.000,ngc
NGC3705,NGC3705,galaxy,11.502072,9.276639,11.760,4.310,1.740,121.000,ngc
NGC3718,NGC3718,galaxy,11.543014,53.067917,11.520,4.700,2.340,9.000,ngc
NGC3726,NGC3726,galaxy,11.555867,47.029194,10.660,5.270,3.540,14.000,ngc
NGC3729,NGC3729,galaxy,11.563700,53.125556,11.720,2.890,2.090,14.000,ngc
NGC3738,NGC3738,galaxy,11.596886,54.523889,11.550,2.260,1.630,156.000,ngc
NGC3766,Pearl Cluster,open_cluster,11.603997,-61.605167,5.660,6.900,,,ngc
NGC3810,NGC3810,galaxy,11.682989,11.471139,11.280,3.350,2.290,28.000,ngc
NGC3877,NGC3877,galaxy,11.768806,47.494333,11.800,5.360,1.230,36.000,ngc
NGC3887,NGC3887,galaxy,11.784603,-16.854611,11.400,3.270,2.570,10.000,ngc
NGC3893,NGC3893,galaxy,11.810608,48.710833,10.820,2.690,1.430,158.000,ngc
NGC3898,NGC3898,galaxy,11.820936,56.084361,11.260,3.470,2.110,107.000,ngc
NGC3904,NGC3904,galaxy,11.820339,-29.276750,11.790,3.470,2.510,11.000,ngc
NGC3923,NGC3923,galaxy,11.850469,-28.806028,10.760,6.890,4.550,48.000,ngc
NGC3938,NGC3938,galaxy,11.880403,44.120722,10.880,3.550,3.440,28.000,ngc
NGC3941,NGC3941,galaxy,11.882044,36.986333,11.280,3.510,2.330,10.000,ngc
NGC3945,NGC3945,galaxy,11.887147,60.675556,11.700,5.550,3.290,15.000,ngc
NGC3949,NGC3949,galaxy,11.894922,47.858694,11.370,2.260,1.320,116.000,ngc
NGC3953,NGC3953,galaxy,11.896922,52.326778,10.480,6.140,3.130,14.000,ngc
NGC3960,NGC3960,open_cluster,11.842558,-55.669833,9.070,6.000,,,ngc
NGC3962,NGC3962,galaxy,11.911139,-13.975028,11.610,4.170,3.000,10.000,ngc
NGC3982,NGC3982,galaxy,11.941147,55.125250,11.810,2.130,1.870,25.000,ngc
NGC3998,NGC3998,galaxy,11.965592,55.453583,11.410,2.780,2.260,139.000,ngc
NGC4026,NGC4026,galaxy,11.990331,50.961694,11.700,4.410,0.870,178.000,ngc
NGC4027,NGC4027,galaxy,11.991714,-19.265222,11.580,3.540,2.800,163.000,ngc
NGC4030,NGC4030,galaxy,12.006564,-1.100083,11.150,3.780,2.650,19.000,ngc
NGC4036,NGC4036,galaxy,12.024097,61.895778,11.540,4.850,2.080,83.000,ngc
NGC4038,Antennae Galaxies,galaxy,12.031392,-18.867611,10.850,5.420,3.780,80.000,ngc
NGC4039,Antennae Galaxies,galaxy,12.031531,-18.886194,11.040,5.360,2.730,50.000,ngc
NGC4041,NGC4041,galaxy,12.036722,62.137222,11.650,2.570,2.390,70.000,ngc
NGC4051,NGC4051,galaxy,12.052669,44.531333,10.770,4.890,4.260,146.000,ngc
NGC4052,NGC4052,open_cluster,12.034775,-63.223472,8.800,5.100,,,ngc
NGC4062,NGC4062,galaxy,12.067731,31.895806,11.890,4.140,1.610,101.000,ngc
NGC4088,NGC4088,galaxy,12.092831,50.539028,11.350,7.010,2.650,44.000,ngc
NGC4096,NGC4096,galaxy,12.100314,47.478444,11.100,5.650,1.430,20.000,ngc
NGC4100,NGC4100,galaxy,12.102347,49.582694,11.710,4.560,1.300,167.000,ngc
NGC4103,NGC4103,open_cluster,12.110992,-61.250083,7.400,7.800,,,ngc
NGC4105,NGC4105,galaxy,12.111325,-29.760222,11.570,4.330,3.410,136.000,ngc
NGC4111,NGC4111,galaxy,12.117536,43.065722,11.670,1.780,0.640,152.000,ngc
NGC4123,NGC4123,galaxy,12.136419,2.878278,11.960,3.180,2.320,125.000,ngc
NGC4125,NGC4125,galaxy,12.135006,65.174139,10.640,5.870,4.580,95.000,ngc
NGC4136,NGC4136,galaxy,12.154914,29.927611,11.900,2.340,2.180,30.000,ngc
NGC4143,NGC4143,galaxy,12.160017,42.534167,11.830,2.730,1.680,144.000,ngc
NGC4145,NGC4145,galaxy,12.167089,39.883861,11.780,4.620,2.110,100.000,ngc
NGC4147,NGC4147,globular_cluster,12.168381,18.542139,11.450,2.400,,,ngc
NGC4151,NGC4151,galaxy,12.175717,39.405722,11.360,2.880,2.210,50.000,ngc
NGC4178,NGC4178,galaxy,12.212903,10.865972,11.920,4.660,1.240,32.000,ngc
NGC4179,NGC4179,galaxy,12.214475,1.299694,11.860,4.480,1.220,146.000,ngc
NGC4203,NGC4203,galaxy,12.251406,33.197333,11.720,3.420,1.430,10.000,ngc
NGC4208,NGC4208,galaxy,12.260933,13.901500,11.780,2.800,1.690,74.000,ngc
NGC4214,NGC4214,galaxy,12.260881,36.326889,10.210,6.790,5.280,128.000,ngc
NGC4216,NGC4216,galaxy,12.265122,13.149389,10.870,7.820,1.840,20.000,ngc
NGC4230,NGC4230,open_cluster,12.285936,-55.286139,9.400,5.400,,,ngc
NGC4236,NGC4236,galaxy,12.278367,69.462583,10.060,23.500,6.850,161.000,ngc
NGC4242,NGC4242,galaxy,12.291717,45.619306,11.590,3.800,2.670,23.000,ngc
NGC4244,NGC4244,galaxy,12.291572,37.807111,10.440,16.220,7.240,45.000,ngc
NGC4251,NGC4251,galaxy,12.302292,28.175389,11.630,2.340,1.230,100.000,ngc
NGC4261,NGC4261,galaxy,12.323117,5.825222,11.180,4.250,3.350,160.000,ngc
NGC4267,NGC4267,galaxy,12.329233,12.798278,11.820,2.550,1.760,143.000,ngc
NGC4274,NGC4274,galaxy,12.330719,29.614472,11.320,3.630,1.700,102.000,ngc
NGC4278,NGC4278,galaxy,12.335228,29.280750,11.040,2.890,2.830,35.000,ngc
NGC4293,NGC4293,galaxy,12.353581,18.382389,11.070,6.240,3.720,72.000,ngc
NGC4298,NGC4298,galaxy,12.359100,14.606167,11.940,2.540,1.400,137.000,ngc
NGC4314,NGC4314,galaxy,12.375506,29.895889,11.420,3.700,3.560,150.000,ngc
NGC4337,NGC4337,open_cluster,12.400919,-58.123778,9.440,6.600,,,ngc
NGC4349,NGC4349,open_cluster,12.401678,-61.870444,8.010,6.300,,,ngc
NGC4350,NGC4350,galaxy,12.399408,16.693417,11.810,2.800,1.330,28.000,ngc
NGC4365,NGC4365,galaxy,12.407856,7.317667,10.500,5.120,3.660,40.000,ngc
NGC4371,NGC4371,galaxy,12.415397,11.704222,11.680,3.880,1.810,96.000,ngc
NGC4372,NGC4372,globular_cluster,12.429272,-72.659083,10.860,12.000,,,ngc
NGC4373,NGC4373,galaxy,12.421617,-39.759722,11.900,3.980,2.110,54.000,ngc
NGC4388,NGC4388,galaxy,12.429653,12.662083,11.730,5.380,1.290,91.000,ngc
NGC4394,NGC4394,galaxy,12.432092,18.214056,11.630,3.480,3.350,145.000,ngc
NGC4395,NGC4395,galaxy,12.430239,33.546917,10.840,4.170,1.390,128.000,ngc
NGC4414,NGC4414,galaxy,12.440861,31.223528,10.990,1.950,1.120,162.000,ngc
NGC4417,NGC4417,galaxy,12.447392,9.584250,11.950,3.090,1.090,49.000,ngc
NGC4419,NGC4419,galaxy,12.449011,15.047389,11.980,3.890,1.300,133.000,ngc
NGC4429,NGC4429,galaxy,12.457364,11.107722,10.880,5.300,2.420,98.000,ngc
NGC4435,Eyes,galaxy,12.461247,13.078944,11.530,3.030,2.140,12.000,ngc
NGC4438,Eyes,galaxy,12.462664,13.008833,10.970,9.160,4.020,27.000,ngc
NGC4439,NGC4439,open_cluster,12.473986,-60.103222,8.730,4.500,,,ngc
NGC4442,NGC4442,galaxy,12.467744,9.803722,11.320,4.320,1.610,87.000,ngc
NGC4449,NGC4449,galaxy,12.469750,44.093639,9.500,4.660,2.710,51.000,ngc
NGC4450,NGC4450,galaxy,12.474897,17.084944,10.810,5.460,3.780,173.000,ngc
NGC4457,NGC4457,galaxy,12.483058,3.570583,11.420,2.790,2.370,79.000,ngc
NGC4459,NGC4459,galaxy,12.483336,13.978361,11.300,4.170,3.160,109.000,ngc
NGC4461,NGC4461,galaxy,12.484169,13.183750,11.920,3.610,1.230,8.000,ngc
NGC4463,NGC4463,open_cluster,12.498672,-64.789667,7.620,4.800,,,ngc
NGC4469,NGC4469,galaxy,12.491119,8.749917,12.000,2.860,1.050,87.000,ngc
NGC4473,NGC4473,galaxy,12.496908,13.429361,11.050,4.270,2.510,100.000,ngc
NGC4477,NGC4477,galaxy,12.500611,13.636611,11.270,3.700,3.220,26.000,ngc
NGC4487,NGC4487,galaxy,12.517906,-8.053917,11.780,3.460,1.900,74.000,ngc
NGC4490,NGC4490,galaxy,12.510067,41.643889,9.760,6.710,1.650,133.000,ngc
NGC4494,NGC4494,galaxy,12.523361,25.775250,10.680,4.350,4.130,173.000,ngc
NGC4503,NGC4503,galaxy,12.535064,11.176417,11.950,3.480,1.580,12.000,ngc
NGC4517,NGC4517,galaxy,12.545997,0.115028,11.190,9.020,1.420,84.000,ngc
NGC4526,NGC4526,galaxy,12.567525,7.699528,10.550,6.950,2.470,138.000,ngc
NGC4527,NGC4527,galaxy,12.569006,2.653667,11.330,6.300,1.720,69.000,ngc
NGC4535,NGC4535,galaxy,12.572308,8.197750,10.560,8.150,7.480,27.000,ngc
NGC4536,NGC4536,galaxy,12.574181,2.188139,11.070,7.080,2.550,121.000,ngc
NGC4546,NGC4546,galaxy,12.591531,-3.793194,11.340,3.160,1.760,90.000,ngc
NGC4559,NGC4559,galaxy,12.599347,27.960000,10.280,10.570,4.820,148.000,ngc
NGC4564,NGC4564,galaxy,12.607494,11.439278,11.950,3.130,1.680,48.000,ngc
NGC4565,Needle Galaxy,galaxy,12.605772,25.987667,10.050,16.750,2.890,135.000,ngc
NGC4567,Butterfly Galaxies,galaxy,12.609086,11.258000,11.930,2.740,2.150,89.000,ngc
NGC4568,Butterfly Galaxies,galaxy,12.609517,11.238889,11.620,4.310,1.870,29.000,ngc
NGC4570,NGC4570,galaxy,12.614833,7.246639,11.710,3.880,0.940,160.000,ngc
NGC4571,NGC4571,galaxy,12.615661,14.217361,11.920,3.560,3.310,35.000,ngc
NGC4589,NGC4589,galaxy,12.623608,74.191917,11.700,2.930,2.310,84.000,ngc
NGC4593,NGC4593,galaxy,12.660953,-5.344250,11.880,2.400,2.040,38.000,ngc
NGC4596,NGC4596,galaxy,12.665542,10.176139,11.300,3.930,3.300,120.000,ngc
NGC4605,NGC4605,galaxy,12.666494,61.609194,10.820,5.870,2.290,122.000,ngc
NGC4608,NGC4608,galaxy,12.687025,10.155667,11.910,2.880,2.490,25.000,ngc
NGC4609,Coalsack Cluster,open_cluster,12.704675,-62.995750,7.320,5.400,,,ngc
NGC4618,NGC4618,galaxy,12.692458,41.150778,11.310,3.560,2.290,32.000,ngc
NGC4631,Whale Galaxy,galaxy,12.702225,32.541500,9.470,14.450,2.200,86.000,ngc
NGC4636,NGC4636,galaxy,12.713842,2.687778,10.040,6.350,4.700,150.000,ngc
NGC4643,NGC4643,galaxy,12.722261,1.978278,11.220,2.240,1.750,132.000,ngc
NGC4647,NGC4647,galaxy,12.725642,11.581861,11.600,2.750,2.360,139.000,ngc
NGC4651,Umbrella Galaxy,galaxy,12.728508,16.393389,11.370,3.870,2.580,77.000,ngc
NGC4654,NGC4654,galaxy,12.732383,13.126667,11.090,4.720,2.490,123.000,ngc
NGC4656NED01,NGC4656NED01,galaxy,12.732686,32.170250,9.820,6.460,0.660,36.000,ngc
NGC4664,NGC4664,galaxy,12.751664,3.055778,11.120,4.520,4.520,5.000,ngc
NGC4666,NGC4666,galaxy,12.752386,-0.461889,11.460,4.970,1.970,40.000,ngc
NGC4689,NGC4689,galaxy,12.795989,13.762806,11.550,3.820,2.860,163.000,ngc
NGC4691,NGC4691,galaxy,12.803786,-3.332722,11.520,3.030,2.460,28.000,ngc
NGC4696,NGC4696,galaxy,12.813681,-41.310833,11.590,3.850,2.560,88.000,ngc
NGC4697,NGC4697,galaxy,12.809967,-5.800750,10.250,7.140,4.160,83.000,ngc
NGC4698,NGC4698,galaxy,12.806364,8.487389,11.480,3.810,1.550,170.000,ngc
NGC4699,NGC4699,galaxy,12.817286,-8.664861,10.380,3.990,3.020,35.000,ngc
NGC4710,NGC4710,galaxy,12.827453,15.165444,11.600,4.390,1.130,26.000,ngc
NGC4725,NGC4725,galaxy,12.840717,25.500806,9.920,9.710,7.100,36.000,ngc
NGC4731,NGC4731,galaxy,12.850303,-6.393056,11.880,6.320,2.140,97.000,ngc
NGC4750,NGC4750,galaxy,12.835353,72.874639,11.790,2.400,2.060,142.000,ngc
NGC4753,NGC4753,galaxy,12.872808,-1.199694,10.570,6.490,3.060,86.000,ngc
NGC4754,NGC4754,galaxy,12.871528,11.313889,11.400,4.160,1.950,22.000,ngc
NGC4762,NGC4762,galaxy,12.882236,11.230806,11.030,8.260,3.520,32.000,ngc
NGC4772,NGC4772,galaxy,12.891433,2.168389,11.890,4.120,2.000,155.000,ngc
NGC4775,NGC4775,galaxy,12.896028,-6.622167,11.530,2.220,1.960,59.000,ngc
NGC4781,NGC4781,galaxy,12.906597,-10.537194,11.460,3.660,1.480,120.000,ngc
NGC4815,NGC4815,open_cluster,12.966214,-64.961750,9.610,3.900,,,ngc
NGC4818,NGC4818,galaxy,12.946917,-8.525306,12.000,4.270,1.280,178.000,ngc
NGC4833,NGC4833,globular_cluster,12.993039,-70.874583,8.720,8.400,,,ngc
NGC4845,NGC4845,galaxy,12.966997,1.575833,11.900,5.500,1.200,82.000,ngc
NGC4852,NGC4852,open_cluster,13.001219,-59.609444,8.900,5.400,,,ngc
NGC4856,NGC4856,galaxy,12.989242,-15.042167,11.440,4.250,1.570,38.000,ngc
NGC4866,NGC4866,galaxy,12.990872,14.171056,12.000,5.770,0.980,88.000,ngc
NGC4900,NGC4900,galaxy,13.010864,2.501444,11.890,2.130,2.020,150.000,ngc
NGC4902,NGC4902,galaxy,13.016592,-14.513639,11.800,2.630,2.370,78.000,ngc
NGC4936,NGC4936,galaxy,13.071358,-30.526250,11.950,2.850,2.430,6.000,ngc
NGC4939,NGC4939,galaxy,13.070664,-10.339611,11.890,5.710,2.300,6.000,ngc
NGC4941,NGC4941,galaxy,13.070317,-5.551611,11.900,3.290,2.700,23.000,ngc
NGC4945,NGC4945,galaxy,13.090967,-49.468222,9.280,23.330,4.030,44.000,ngc
NGC4958,NGC4958,galaxy,13.096911,-8.020278,11.490,4.790,1.200,7.000,ngc
NGC4976,NGC4976,galaxy,13.143758,-49.506417,10.970,5.830,3.270,161.000,ngc
NGC4995,NGC4995,galaxy,13.161292,-7.833417,11.920,2.430,1.490,99.000,ngc
NGC5005,NGC5005,galaxy,13.182286,37.059194,10.540,4.820,1.520,70.000,ngc
NGC5018,NGC5018,galaxy,13.216953,-19.518194,11.680,3.490,2.170,99.000,ngc
NGC5033,NGC5033,galaxy,13.224297,36.593944,10.700,9.840,4.580,172.000,ngc
NGC5044,NGC5044,galaxy,13.256658,-16.385528,11.580,3.660,3.170,41.000,ngc
